Date,Closing Price (USD)
2016-05-16,4380.48
2016-05-17,4322.56
2016-05-18,4338.23
2016-05-19,4315.58
2016-05-20,4362.90
2016-05-23,4355.10
2016-05-24,4444.30
2016-05-25,4476.43
2016-05-26,4487.96
2016-05-27,4512.54
2016-05-31,4523.89
2016-06-01,4520.07
2016-06-02,4531.35
2016-06-03,4509.79
2016-06-06,4523.63
2016-06-07,4513.09
2016-06-08,4520.63
2016-06-09,4512.69
2016-06-10,4461.05
2016-06-13,4422.76
2016-06-14,4424.91
2016-06-15,4409.51
2016-06-16,4424.23
2016-06-17,4374.38
2016-06-20,4400.16
2016-06-21,4413.40
2016-06-22,4404.73
2016-06-23,4467.48
2016-06-24,4285.70
2016-06-27,4201.05
2016-06-28,4290.47
2016-06-29,4364.74
2016-06-30,4417.70
2016-07-01,4437.44
2016-07-05,4410.75
2016-07-06,4444.70
2016-07-07,4459.58
2016-07-08,4528.36
2016-07-11,4554.71
2016-07-12,4577.61
2016-07-13,4565.77
2016-07-14,4596.49
2016-07-15,4589.83
2016-07-18,4619.68
2016-07-19,4603.28
2016-07-20,4657.20
2016-07-21,4647.02
2016-07-22,4666.07
2016-07-25,4665.93
2016-07-26,4672.11
2016-07-27,4702.88
2016-07-28,4721.41
2016-07-29,4730.23
2016-08-01,4756.04
2016-08-02,4719.21
2016-08-03,4734.33
2016-08-04,4743.81
2016-08-05,4791.21
2016-08-08,4784.74
2016-08-09,4795.75
2016-08-10,4783.39
2016-08-11,4803.31
2016-08-12,4807.08
2016-08-15,4827.12
2016-08-16,4797.19
2016-08-17,4805.45
2016-08-18,4808.68
2016-08-19,4806.14
2016-08-22,4808.56
2016-08-23,4818.48
2016-08-24,4783.49
2016-08-25,4775.43
2016-08-26,4783.69
2016-08-29,4791.09
2016-08-30,4776.00
2016-08-31,4771.05
2016-09-01,4783.94
2016-09-02,4798.74
2016-09-06,4829.51
2016-09-07,4831.86
2016-09-08,4804.00
2016-09-09,4681.54
2016-09-12,4764.65
2016-09-13,4722.84
2016-09-14,4746.06
2016-09-15,4819.90
2016-09-16,4818.05
2016-09-19,4796.07
2016-09-20,4805.22
2016-09-21,4853.75
2016-09-22,4891.36
2016-09-23,4858.91
2016-09-26,4817.17
2016-09-27,4866.71
2016-09-28,4875.27
2016-09-29,4838.30
2016-09-30,4875.70
2016-10-03,4866.62
2016-10-04,4859.47
2016-10-05,4877.75
2016-10-06,4873.92
2016-10-07,4864.52
2016-10-10,4893.77
2016-10-11,4821.91
2016-10-12,4819.63
2016-10-13,4803.10
2016-10-14,4808.48
2016-10-17,4796.17
2016-10-18,4839.72
2016-10-19,4836.61
2016-10-20,4832.71
2016-10-21,4851.86
2016-10-24,4909.97
2016-10-25,4891.45
2016-10-26,4860.59
2016-10-27,4836.45
2016-10-28,4805.59
2016-10-31,4801.27
2016-11-01,4766.94
2016-11-02,4726.91
2016-11-03,4679.10
2016-11-04,4660.46
2016-11-07,4773.73
2016-11-08,4804.92
2016-11-09,4825.18
2016-11-10,4747.03
2016-11-11,4751.95
2016-11-14,4702.04
2016-11-15,4764.47
2016-11-16,4792.27
2016-11-17,4826.59
2016-11-18,4808.04
2016-11-21,4859.00
